order	dataset_id	cluster_id	cluster_name	sample_id	gene_symbol	entrez_geneid	FBgn	avg_logFC	pct1	pct2	p_value	padj	other_value	other_value_type	rank	source_gene_info	rank_text
1663926	98	1	CAH7+ plasmatocyte	all	CG3940	41238	FBgn0037788	1.94	0.81	0.12	0.00	0.00	NULL	NULL	NULL	gene symbol	top10
1663927	98	1	CAH7+ plasmatocyte	all	Ten-a	32183	FBgn0267001	0.90	0.67	0.17	9.16e-167	7.14e-163	NULL	NULL	NULL	gene symbol	top10
1663928	98	1	CAH7+ plasmatocyte	all	NimC2	34818	FBgn0028939	0.87	0.61	0.12	7.78e-168	6.07e-164	NULL	NULL	NULL	gene symbol	top10
1663929	98	1	CAH7+ plasmatocyte	all	lea	39864	FBgn0063485	0.81	0.71	0.25	1.33e-133	1.04e-129	NULL	NULL	NULL	gene symbol	top10
1663930	98	1	CAH7+ plasmatocyte	all	LpR2	43105	FBgn0051092	0.76	0.60	0.16	6.73e-131	5.25e-127	NULL	NULL	NULL	gene symbol	top10
1663931	98	1	CAH7+ plasmatocyte	all	Irk1	42742	FBgn0265042	0.75	0.86	0.43	3.49e-126	2.72e-122	NULL	NULL	NULL	gene symbol	top50
1663932	98	1	CAH7+ plasmatocyte	all	CG9338	35357	FBgn0032899	1.26	0.48	0.06	7.3e-177	5.69e-173	NULL	NULL	NULL	gene symbol	top10
1663933	98	1	CAH7+ plasmatocyte	all	Dyrk2	34831	FBgn0016930	0.71	0.58	0.17	2.69e-120	2.1e-116	NULL	NULL	NULL	gene symbol	top50
1663934	98	1	CAH7+ plasmatocyte	all	miple2	44787	FBgn0029002	0.76	0.90	0.51	5.42e-122	4.22e-118	NULL	NULL	NULL	gene symbol	top50
1663935	98	1	CAH7+ plasmatocyte	all	Eip93F	44936	FBgn0264490	0.60	0.77	0.39	6.98e-88	5.44e-84	NULL	NULL	NULL	gene symbol	top50
1663936	98	1	CAH7+ plasmatocyte	all	CG5399	41900	FBgn0038353	1.37	0.99	0.62	9.49e-230	7.4e-226	NULL	NULL	NULL	gene symbol	top10
1663937	98	1	CAH7+ plasmatocyte	all	CG13384	34160	FBgn0032036	0.95	0.95	0.59	5.13e-165	4.0e-161	NULL	NULL	NULL	gene symbol	top10
1663938	98	1	CAH7+ plasmatocyte	all	CG13321	36430	FBgn0033787	0.68	0.58	0.23	5.88e-83	4.58e-79	NULL	NULL	NULL	gene symbol	top50
1663939	98	1	CAH7+ plasmatocyte	all	CG44250	19836034	FBgn0265185	0.84	0.91	0.57	2.79e-127	2.17e-123	NULL	NULL	NULL	gene symbol	top10
1663940	98	1	CAH7+ plasmatocyte	all	CG43446	12798498	FBgn0263400	0.52	0.71	0.37	1.23e-64	9.61e-61	NULL	NULL	NULL	gene symbol	top50
1663941	98	1	CAH7+ plasmatocyte	all	mbc	42817	FBgn0015513	0.50	0.58	0.25	5.75e-64	4.48e-60	NULL	NULL	NULL	gene symbol	top50
1663942	98	1	CAH7+ plasmatocyte	all	CREG	42092	FBgn0025456	0.56	0.55	0.22	1.81e-67	1.41e-63	NULL	NULL	NULL	gene symbol	top50
1663943	98	1	CAH7+ plasmatocyte	all	Mmp2	35997	FBgn0033438	0.53	0.70	0.38	4.86e-64	3.79e-60	NULL	NULL	NULL	gene symbol	top50
1663944	98	1	CAH7+ plasmatocyte	all	CG8539	38842	FBgn0035791	0.60	0.37	0.05	2.97e-125	2.31e-121	NULL	NULL	NULL	gene symbol	top50
1663945	98	1	CAH7+ plasmatocyte	all	bif	32119	FBgn0014133	0.60	0.86	0.54	2.88e-90	2.24e-86	NULL	NULL	NULL	gene symbol	top50
1663946	98	1	CAH7+ plasmatocyte	all	CG34232	5740195	FBgn0085261	0.63	0.83	0.51	3.01e-80	2.34e-76	NULL	NULL	NULL	gene symbol	top50
1663947	98	1	CAH7+ plasmatocyte	all	Jabba	37164	FBgn0259682	0.48	0.80	0.49	1.81e-56	1.41e-52	NULL	NULL	NULL	gene symbol	top50
1663948	98	1	CAH7+ plasmatocyte	all	Snp	37511	FBgn0265192	0.43	0.69	0.38	4.09e-49	3.19e-45	NULL	NULL	NULL	gene symbol	top100
1663949	98	1	CAH7+ plasmatocyte	all	Sema-1a	34192	FBgn0011259	0.50	0.38	0.08	5.71e-92	4.45e-88	NULL	NULL	NULL	gene symbol	top50
1663950	98	1	CAH7+ plasmatocyte	all	CG32982	34237	FBgn0052982	0.50	0.63	0.33	5.51e-55	4.3e-51	NULL	NULL	NULL	gene symbol	top50
1663951	98	1	CAH7+ plasmatocyte	all	CG34253	5740501	FBgn0085282	0.46	0.51	0.21	1.27e-58	9.9e-55	NULL	NULL	NULL	gene symbol	top100
1663952	98	1	CAH7+ plasmatocyte	all	Sur-8	42093	FBgn0038504	0.75	0.95	0.66	9.64e-138	7.52e-134	NULL	NULL	NULL	gene symbol	top50
1663953	98	1	CAH7+ plasmatocyte	all	CG4822	33170	FBgn0031220	0.47	0.43	0.15	2.54e-60	1.98e-56	NULL	NULL	NULL	gene symbol	top50
1663954	98	1	CAH7+ plasmatocyte	all	HDAC4	32278	FBgn0041210	0.56	0.84	0.56	7.16e-73	5.58e-69	NULL	NULL	NULL	gene symbol	top50
1663955	98	1	CAH7+ plasmatocyte	all	mthl10	38057	FBgn0035132	0.43	0.53	0.25	3.8e-49	2.96e-45	NULL	NULL	NULL	gene symbol	top100
1663956	98	1	CAH7+ plasmatocyte	all	Arf51F	36699	FBgn0013750	0.56	0.87	0.60	1.49e-81	1.16e-77	NULL	NULL	NULL	gene symbol	top50
1663957	98	1	CAH7+ plasmatocyte	all	Eip78C	40345	FBgn0004865	0.48	0.69	0.42	5.44e-51	4.24e-47	NULL	NULL	NULL	gene symbol	top50
1663958	98	1	CAH7+ plasmatocyte	all	bves	33083	FBgn0031150	0.38	0.41	0.14	1.39e-55	1.08e-51	NULL	NULL	NULL	gene symbol	top100
1663959	98	1	CAH7+ plasmatocyte	all	kar	45883	FBgn0001296	0.45	0.79	0.52	2.1e-48	1.63e-44	NULL	NULL	NULL	gene symbol	top100
1663960	98	1	CAH7+ plasmatocyte	all	CG3164	33171	FBgn0025683	0.54	0.86	0.60	4.76e-64	3.71e-60	NULL	NULL	NULL	gene symbol	top50
1663961	98	1	CAH7+ plasmatocyte	all	l(3)05822	47260	FBgn0010877	0.40	0.47	0.21	1.98e-45	1.54e-41	NULL	NULL	NULL	gene symbol	top100
1663962	98	1	CAH7+ plasmatocyte	all	CG13784	34003	FBgn0031897	0.42	0.43	0.17	4.45e-48	3.47e-44	NULL	NULL	NULL	gene symbol	top100
1663963	98	1	CAH7+ plasmatocyte	all	Eip71CD	39675	FBgn0000565	0.51	0.84	0.59	6.22e-50	4.85e-46	NULL	NULL	NULL	gene symbol	top50
1663964	98	1	CAH7+ plasmatocyte	all	RhoGAP71E	39693	FBgn0036518	0.45	0.62	0.37	1.58e-39	1.23e-35	NULL	NULL	NULL	gene symbol	top100
1663965	98	1	CAH7+ plasmatocyte	all	CG8596	38813	FBgn0035767	0.36	0.38	0.13	5.09e-49	3.97e-45	NULL	NULL	NULL	gene symbol	top100
1663966	98	1	CAH7+ plasmatocyte	all	Swip-1	35158	FBgn0032731	0.72	0.96	0.71	3.13e-131	2.44e-127	NULL	NULL	NULL	gene symbol	top50
1663967	98	1	CAH7+ plasmatocyte	all	CG1236	40708	FBgn0037370	0.41	0.37	0.13	8.8e-53	6.86e-49	NULL	NULL	NULL	gene symbol	top100
1663968	98	1	CAH7+ plasmatocyte	all	CG12643	50416	FBgn0040942	0.40	0.52	0.28	1.06e-37	8.3e-34	NULL	NULL	NULL	gene symbol	top100
1663969	98	1	CAH7+ plasmatocyte	all	Cat	40048	FBgn0000261	0.66	0.96	0.72	5.93e-118	4.62e-114	NULL	NULL	NULL	gene symbol	top50
1663970	98	1	CAH7+ plasmatocyte	all	CG13631	50073	FBgn0040600	0.44	0.64	0.40	7.67e-37	5.98e-33	NULL	NULL	NULL	gene symbol	top100
1663971	98	1	CAH7+ plasmatocyte	all	CG10962	31824	FBgn0030073	0.33	0.58	0.34	1.25e-30	9.71e-27	NULL	NULL	NULL	gene symbol	top200
1663972	98	1	CAH7+ plasmatocyte	all	CG30089	36736	FBgn0050089	0.38	0.39	0.16	2.16e-42	1.68e-38	NULL	NULL	NULL	gene symbol	top100
1663973	98	1	CAH7+ plasmatocyte	all	CG6357	36532	FBgn0033875	0.36	0.42	0.19	2.17e-37	1.69e-33	NULL	NULL	NULL	gene symbol	top100
1663974	98	1	CAH7+ plasmatocyte	all	CDase	43618	FBgn0039774	0.37	0.58	0.34	3.15e-33	2.46e-29	NULL	NULL	NULL	gene symbol	top100
1663975	98	1	CAH7+ plasmatocyte	all	CG14812	31137	FBgn0026090	0.45	0.76	0.53	1.16e-49	9.05e-46	NULL	NULL	NULL	gene symbol	top100
1663976	98	1	CAH7+ plasmatocyte	all	Ilp6	31220	FBgn0044047	0.37	0.53	0.30	5.08e-33	3.96e-29	NULL	NULL	NULL	gene symbol	top100
1663977	98	1	CAH7+ plasmatocyte	all	Glut4EF	41217	FBgn0267336	0.37	0.37	0.14	2.01e-43	1.57e-39	NULL	NULL	NULL	gene symbol	top100
1663978	98	1	CAH7+ plasmatocyte	all	scb	36692	FBgn0286785	0.41	0.35	0.12	5.09e-47	3.97e-43	NULL	NULL	NULL	gene symbol	top100
1663979	98	1	CAH7+ plasmatocyte	all	CG42666	31136	FBgn0283741	0.36	0.70	0.47	5.69e-30	4.44e-26	NULL	NULL	NULL	gene symbol	top100
1663980	98	1	CAH7+ plasmatocyte	all	CG13907	38104	FBgn0035173	0.38	0.39	0.16	1.21e-40	9.46e-37	NULL	NULL	NULL	gene symbol	top100
1663981	98	1	CAH7+ plasmatocyte	all	ush	33225	FBgn0003963	0.34	0.54	0.31	5.42e-31	4.23e-27	NULL	NULL	NULL	gene symbol	top200
1663982	98	1	CAH7+ plasmatocyte	all	NLaz	33324	FBgn0053126	0.27	0.72	0.49	3.73e-25	2.91e-21	NULL	NULL	NULL	gene symbol	top200
1663983	98	1	CAH7+ plasmatocyte	all	CG3831	37648	FBgn0034804	0.33	0.51	0.29	1.89e-28	1.47e-24	NULL	NULL	NULL	gene symbol	top200
1663984	98	1	CAH7+ plasmatocyte	all	ena	37201	FBgn0000578	0.49	0.91	0.69	2.47e-66	1.92e-62	NULL	NULL	NULL	gene symbol	top50
1663985	98	1	CAH7+ plasmatocyte	all	Sdc	37447	FBgn0010415	0.30	0.52	0.30	5.66e-27	4.41e-23	NULL	NULL	NULL	gene symbol	top200
1663986	98	1	CAH7+ plasmatocyte	all	CG6762	32768	FBgn0030876	0.35	0.77	0.55	1.94e-32	1.52e-28	NULL	NULL	NULL	gene symbol	top200
1663987	98	1	CAH7+ plasmatocyte	all	Pvr	34127	FBgn0032006	0.47	0.86	0.64	3.25e-52	2.54e-48	NULL	NULL	NULL	gene symbol	top50
1663988	98	1	CAH7+ plasmatocyte	all	aop	33392	FBgn0000097	0.40	0.74	0.53	2.2e-40	1.71e-36	NULL	NULL	NULL	gene symbol	top100
1663989	98	1	CAH7+ plasmatocyte	all	CG13707	38583	FBgn0035578	0.38	0.29	0.08	6.65e-54	5.19e-50	NULL	NULL	NULL	gene symbol	top100
1663990	98	1	CAH7+ plasmatocyte	all	Scamp	32470	FBgn0040285	0.32	0.68	0.46	4.15e-29	3.23e-25	NULL	NULL	NULL	gene symbol	top200
1663991	98	1	CAH7+ plasmatocyte	all	Syx13	39485	FBgn0036341	0.47	0.88	0.67	1.29e-57	1.01e-53	NULL	NULL	NULL	gene symbol	top50
1663992	98	1	CAH7+ plasmatocyte	all	GstS1	36927	FBgn0010226	0.40	0.31	0.10	5.0e-45	3.9e-41	NULL	NULL	NULL	gene symbol	top100
1663993	98	1	CAH7+ plasmatocyte	all	CG43658	32729	FBgn0263706	0.30	0.48	0.27	7.49e-25	5.84e-21	NULL	NULL	NULL	gene symbol	top200
1663994	98	1	CAH7+ plasmatocyte	all	Zip99C	43533	FBgn0039714	0.38	0.47	0.26	4.31e-29	3.36e-25	NULL	NULL	NULL	gene symbol	top100
1663995	98	1	CAH7+ plasmatocyte	all	be	32430	FBgn0052594	0.31	0.39	0.19	1.19e-29	9.25e-26	NULL	NULL	NULL	gene symbol	top200
1663996	98	1	CAH7+ plasmatocyte	all	Atx2	41883	FBgn0041188	0.30	0.67	0.47	8.97e-25	7.0e-21	NULL	NULL	NULL	gene symbol	top200
1663997	98	1	CAH7+ plasmatocyte	all	NtR	43935	FBgn0029147	0.38	0.83	0.63	1.66e-41	1.29e-37	NULL	NULL	NULL	gene symbol	top100
1663998	98	1	CAH7+ plasmatocyte	all	lap	40863	FBgn0086372	0.36	0.66	0.46	7.5e-31	5.85e-27	NULL	NULL	NULL	gene symbol	top100
1663999	98	1	CAH7+ plasmatocyte	all	CG8950	36921	FBgn0034186	0.34	0.31	0.11	1.36e-39	1.06e-35	NULL	NULL	NULL	gene symbol	top200
1664000	98	1	CAH7+ plasmatocyte	all	yip2	34313	FBgn0040064	0.32	0.77	0.57	2.29e-26	1.79e-22	NULL	NULL	NULL	gene symbol	top200
1664001	98	1	CAH7+ plasmatocyte	all	ZnT63C	38407	FBgn0035432	0.31	0.58	0.38	1.01e-22	7.85e-19	NULL	NULL	NULL	gene symbol	top200
1664002	98	1	CAH7+ plasmatocyte	all	sgg	31248	FBgn0003371	0.39	0.74	0.54	1.2e-32	9.34e-29	NULL	NULL	NULL	gene symbol	top100
1664003	98	1	CAH7+ plasmatocyte	all	Indy	40049	FBgn0036816	0.46	0.82	0.62	1.91e-42	1.49e-38	NULL	NULL	NULL	gene symbol	top50
1664004	98	1	CAH7+ plasmatocyte	all	CG3625	33198	FBgn0031245	0.38	0.78	0.58	3.77e-29	2.94e-25	NULL	NULL	NULL	gene symbol	top100
1664005	98	1	CAH7+ plasmatocyte	all	CG3726	31525	FBgn0029824	0.31	0.30	0.10	8.55e-38	6.66e-34	NULL	NULL	NULL	gene symbol	top200
1664006	98	1	CAH7+ plasmatocyte	all	CG5973	34023	FBgn0031914	0.28	0.42	0.23	4.59e-23	3.58e-19	NULL	NULL	NULL	gene symbol	top200
1664007	98	1	CAH7+ plasmatocyte	all	Hnf4	44544	FBgn0004914	0.31	0.57	0.38	3.31e-24	2.58e-20	NULL	NULL	NULL	gene symbol	top200
1664008	98	1	CAH7+ plasmatocyte	all	Hsp26	39075	FBgn0001225	0.52	0.94	0.75	5.73e-66	4.46e-62	NULL	NULL	NULL	gene symbol	top50
1664009	98	1	CAH7+ plasmatocyte	all	C1GalTA	34215	FBgn0032078	0.27	0.47	0.29	1.79e-21	1.39e-17	NULL	NULL	NULL	gene symbol	top200
1664010	98	1	CAH7+ plasmatocyte	all	PGRP-LC	39063	FBgn0035976	0.25	0.35	0.16	9.12e-27	7.11e-23	NULL	NULL	NULL	gene symbol	top200
1664011	98	1	CAH7+ plasmatocyte	all	CG30344	246552	FBgn0050344	0.34	0.69	0.51	3.11e-25	2.43e-21	NULL	NULL	NULL	gene symbol	top200
1664012	98	1	CAH7+ plasmatocyte	all	CG3961	40056	FBgn0036821	0.28	0.72	0.53	4.77e-20	3.72e-16	NULL	NULL	NULL	gene symbol	top200
1664013	98	1	CAH7+ plasmatocyte	all	CG8468	36577	FBgn0033913	0.30	0.45	0.27	2.8e-21	2.18e-17	NULL	NULL	NULL	gene symbol	top200
1664014	98	1	CAH7+ plasmatocyte	all	CG11899	46391	FBgn0014427	0.34	0.71	0.53	3.84e-26	2.99e-22	NULL	NULL	NULL	gene symbol	top200
1664015	98	1	CAH7+ plasmatocyte	all	Rab35	33014	FBgn0031090	0.27	0.65	0.47	2.09e-20	1.63e-16	NULL	NULL	NULL	gene symbol	top200
1664016	98	1	CAH7+ plasmatocyte	all	Sbf	41427	FBgn0025802	0.27	0.39	0.21	3.89e-23	3.03e-19	NULL	NULL	NULL	gene symbol	top200
1664017	98	1	CAH7+ plasmatocyte	all	CG5888	34980	FBgn0028523	0.27	0.40	0.22	6.3e-22	4.91e-18	NULL	NULL	NULL	gene symbol	top200
1664018	98	1	CAH7+ plasmatocyte	all	Reck	39629	FBgn0036463	0.26	0.35	0.17	1.09e-24	8.5e-21	NULL	NULL	NULL	gene symbol	top200
1664019	98	1	CAH7+ plasmatocyte	all	Sema-5c	37066	FBgn0284221	0.30	0.55	0.37	2.38e-18	1.85e-14	NULL	NULL	NULL	gene symbol	top200
1664020	98	1	CAH7+ plasmatocyte	all	CG14184	40193	FBgn0036932	0.32	0.65	0.47	1.08e-23	8.44e-20	NULL	NULL	NULL	gene symbol	top200
1664021	98	1	CAH7+ plasmatocyte	all	Cip4	38534	FBgn0035533	0.28	0.51	0.33	9.46e-20	7.37e-16	NULL	NULL	NULL	gene symbol	top200
1664022	98	1	CAH7+ plasmatocyte	all	Fim	32721	FBgn0024238	0.54	0.94	0.77	5.04e-89	3.93e-85	NULL	NULL	NULL	gene symbol	top50
1664023	98	1	CAH7+ plasmatocyte	all	Mvl	42490	FBgn0011672	0.43	0.93	0.75	2.85e-55	2.22e-51	NULL	NULL	NULL	gene symbol	top100
1664024	98	1	CAH7+ plasmatocyte	all	CG42542	8674000	FBgn0260659	0.27	0.59	0.42	4.87e-18	3.8e-14	NULL	NULL	NULL	gene symbol	top200
1664025	98	1	CAH7+ plasmatocyte	all	CG3638	31071	FBgn0261444	0.29	0.54	0.37	8.85e-20	6.9e-16	NULL	NULL	NULL	gene symbol	top200
1664026	98	1	CAH7+ plasmatocyte	all	dos	38321	FBgn0016794	0.28	0.38	0.20	8.33e-23	6.49e-19	NULL	NULL	NULL	gene symbol	top200
1664027	98	1	CAH7+ plasmatocyte	all	CG34417	31591	FBgn0085446	0.31	0.27	0.10	1.89e-32	1.47e-28	NULL	NULL	NULL	gene symbol	top200
1664028	98	1	CAH7+ plasmatocyte	all	scramb1	326186	FBgn0052056	0.33	0.69	0.51	4.61e-26	3.6e-22	NULL	NULL	NULL	gene symbol	top200
1664029	98	1	CAH7+ plasmatocyte	all	CG6805	36911	FBgn0034179	0.32	0.71	0.53	1.22e-23	9.48e-20	NULL	NULL	NULL	gene symbol	top200
1664030	98	1	CAH7+ plasmatocyte	all	CG34296	5740662	FBgn0085325	-0.60	0.72	0.55	1.68e-19	1.31e-15	NULL	NULL	NULL	gene symbol	
1664031	98	1	CAH7+ plasmatocyte	all	CG17224	33510	FBgn0031489	0.37	0.36	0.18	3.4e-24	2.65e-20	NULL	NULL	NULL	gene symbol	top100
1664032	98	1	CAH7+ plasmatocyte	all	Rab7	42841	FBgn0015795	0.31	0.75	0.58	3.62e-24	2.82e-20	NULL	NULL	NULL	gene symbol	top200
1664033	98	1	CAH7+ plasmatocyte	all	sgl	38760	FBgn0261445	0.28	0.48	0.31	2.51e-17	1.96e-13	NULL	NULL	NULL	gene symbol	top200
1664034	98	1	CAH7+ plasmatocyte	all	CG6707	39168	FBgn0036058	0.30	0.74	0.57	7.77e-23	6.06e-19	NULL	NULL	NULL	gene symbol	top200
1664035	98	1	CAH7+ plasmatocyte	all	TwdlE	34075	FBgn0031957	0.39	0.54	0.37	5.04e-21	3.93e-17	NULL	NULL	NULL	gene symbol	top100
1664036	98	1	CAH7+ plasmatocyte	all	l(1)G0469	32371	FBgn0040153	0.27	0.34	0.17	4.76e-23	3.71e-19	NULL	NULL	NULL	gene symbol	top200
1664037	98	1	CAH7+ plasmatocyte	all	Galphai	38765	FBgn0001104	0.31	0.62	0.45	1.31e-20	1.02e-16	NULL	NULL	NULL	gene symbol	top200
1664038	98	1	CAH7+ plasmatocyte	all	Eip63E	38433	FBgn0005640	0.25	0.40	0.23	2.26e-19	1.77e-15	NULL	NULL	NULL	gene symbol	top200
1664039	98	1	CAH7+ plasmatocyte	all	CG8602	38808	FBgn0035763	0.41	0.95	0.78	4.29e-48	3.35e-44	NULL	NULL	NULL	gene symbol	top100
1664040	98	1	CAH7+ plasmatocyte	all	tacc	40589	FBgn0026620	0.33	0.70	0.53	5.6e-23	4.36e-19	NULL	NULL	NULL	gene symbol	top200
1664041	98	1	CAH7+ plasmatocyte	all	Nmdmc	47895	FBgn0010222	0.25	0.33	0.16	5.48e-23	4.27e-19	NULL	NULL	NULL	gene symbol	
1664042	98	1	CAH7+ plasmatocyte	all	Sox14	37822	FBgn0005612	0.30	0.43	0.26	4.69e-20	3.66e-16	NULL	NULL	NULL	gene symbol	top200
1664043	98	1	CAH7+ plasmatocyte	all	CG11739	40552	FBgn0037239	0.42	0.91	0.74	4.88e-55	3.8e-51	NULL	NULL	NULL	gene symbol	top100
1664044	98	1	CAH7+ plasmatocyte	all	cwo	44669	FBgn0259938	0.29	0.46	0.29	4.5e-19	3.5e-15	NULL	NULL	NULL	gene symbol	top200
1664045	98	1	CAH7+ plasmatocyte	all	NAT1	46020	FBgn0010488	0.27	0.78	0.61	1.82e-22	1.42e-18	NULL	NULL	NULL	gene symbol	top200
1664046	98	1	CAH7+ plasmatocyte	all	drpr	38218	FBgn0027594	0.25	0.74	0.58	1.18e-18	9.18e-15	NULL	NULL	NULL	gene symbol	top200
1664047	98	1	CAH7+ plasmatocyte	all	Sesn	37755	FBgn0034897	0.27	0.25	0.08	1.04e-31	8.12e-28	NULL	NULL	NULL	gene symbol	top200
1664048	98	1	CAH7+ plasmatocyte	all	Pebp1	42644	FBgn0038973	0.39	0.33	0.17	8.94e-22	6.97e-18	NULL	NULL	NULL	gene symbol	top100
1664049	98	1	CAH7+ plasmatocyte	all	Dip-C	47769	FBgn0000455	0.27	0.51	0.35	2.21e-18	1.72e-14	NULL	NULL	NULL	gene symbol	top200
1664050	98	1	CAH7+ plasmatocyte	all	CG6650	39555	FBgn0036402	0.25	0.43	0.27	1.51e-17	1.17e-13	NULL	NULL	NULL	gene symbol	top200
1664051	98	1	CAH7+ plasmatocyte	all	flr	39505	FBgn0260049	0.25	0.48	0.32	2.88e-16	2.24e-12	NULL	NULL	NULL	gene symbol	top200
1664052	98	1	CAH7+ plasmatocyte	all	CG11882	43446	FBgn0039642	0.27	0.51	0.36	2.04e-18	1.59e-14	NULL	NULL	NULL	gene symbol	top200
1664053	98	1	CAH7+ plasmatocyte	all	Vha100-1	43442	FBgn0028671	0.26	0.46	0.30	2.41e-15	1.88e-11	NULL	NULL	NULL	gene symbol	top200
1664054	98	1	CAH7+ plasmatocyte	all	Tsp42Ee	35614	FBgn0029506	0.26	0.84	0.68	1.03e-20	8.02e-17	NULL	NULL	NULL	gene symbol	top200
1664055	98	1	CAH7+ plasmatocyte	all	Rab8	40168	FBgn0262518	0.25	0.50	0.35	1.36e-15	1.06e-11	NULL	NULL	NULL	gene symbol	top200
1664056	98	1	CAH7+ plasmatocyte	all	tud	37417	FBgn0003891	0.26	0.42	0.26	1.4e-16	1.09e-12	NULL	NULL	NULL	gene symbol	top200
1664057	98	1	CAH7+ plasmatocyte	all	Chc	32537	FBgn0000319	0.37	0.89	0.74	5.98e-45	4.67e-41	NULL	NULL	NULL	gene symbol	top100
1664058	98	1	CAH7+ plasmatocyte	all	LanB2	39118	FBgn0267348	0.32	0.92	0.77	1.94e-34	1.51e-30	NULL	NULL	NULL	gene symbol	top200
1664059	98	1	CAH7+ plasmatocyte	all	CG9646	36918	FBgn0034184	0.25	0.32	0.17	4.86e-19	3.79e-15	NULL	NULL	NULL	gene symbol	
1664060	98	1	CAH7+ plasmatocyte	all	CG4842	39817	FBgn0036620	0.28	0.49	0.33	4.63e-16	3.61e-12	NULL	NULL	NULL	gene symbol	top200
1664061	98	1	CAH7+ plasmatocyte	all	Rcd4	34158	FBgn0032034	0.25	0.35	0.20	4.34e-18	3.39e-14	NULL	NULL	NULL	gene symbol	top200
1664062	98	1	CAH7+ plasmatocyte	all	if	32661	FBgn0001250	0.25	0.27	0.12	6.08e-22	4.74e-18	NULL	NULL	NULL	gene symbol	top200
1664063	98	1	CAH7+ plasmatocyte	all	crq	33219	FBgn0015924	0.51	0.95	0.80	1.02e-77	7.93e-74	NULL	NULL	NULL	gene symbol	top50
1664064	98	1	CAH7+ plasmatocyte	all	Cortactin	42491	FBgn0025865	0.31	0.88	0.73	2.69e-29	2.09e-25	NULL	NULL	NULL	gene symbol	top200
1664065	98	1	CAH7+ plasmatocyte	all	Cht2	38223	FBgn0022702	0.25	0.43	0.28	3.11e-14	2.42e-10	NULL	NULL	NULL	gene symbol	top200
1664066	98	1	CAH7+ plasmatocyte	all	VhaM8.9	41104	FBgn0037671	0.25	0.81	0.67	3.76e-19	2.93e-15	NULL	NULL	NULL	gene symbol	top200
1664067	98	1	CAH7+ plasmatocyte	all	VhaPPA1-1	45247	FBgn0028662	0.25	0.85	0.71	1.66e-20	1.3e-16	NULL	NULL	NULL	gene symbol	
1664068	98	1	CAH7+ plasmatocyte	all	Rac2	38831	FBgn0014011	0.27	0.77	0.63	2.86e-19	2.23e-15	NULL	NULL	NULL	gene symbol	top200
1664069	98	1	CAH7+ plasmatocyte	all	cpb	33346	FBgn0011570	0.27	0.83	0.69	4.4e-24	3.43e-20	NULL	NULL	NULL	gene symbol	top200
1664070	98	1	CAH7+ plasmatocyte	all	CG4950	39783	FBgn0036587	0.30	0.96	0.82	3.0e-31	2.34e-27	NULL	NULL	NULL	gene symbol	top200
1664071	98	1	CAH7+ plasmatocyte	all	Bsg	318841	FBgn0261822	0.30	0.89	0.76	1.42e-25	1.11e-21	NULL	NULL	NULL	gene symbol	top200
1664072	98	1	CAH7+ plasmatocyte	all	Dtg	41558	FBgn0038071	0.29	0.97	0.84	1.87e-33	1.46e-29	NULL	NULL	NULL	gene symbol	top200
1664073	98	1	CAH7+ plasmatocyte	all	PyK	42620	FBgn0267385	0.25	0.84	0.71	2.6e-20	2.03e-16	NULL	NULL	NULL	gene symbol	top200
1664074	98	1	CAH7+ plasmatocyte	all	CG31717	318911	FBgn0051717	0.27	0.72	0.58	1.27e-19	9.91e-16	NULL	NULL	NULL	gene symbol	top200
1664075	98	1	CAH7+ plasmatocyte	all	Arpc3B	32696	FBgn0065032	0.42	0.92	0.78	6.78e-50	5.29e-46	NULL	NULL	NULL	gene symbol	top100
1664076	98	1	CAH7+ plasmatocyte	all	fat-spondin	36919	FBgn0026721	0.42	0.99	0.86	2.98e-66	2.32e-62	NULL	NULL	NULL	gene symbol	top100
1664077	98	1	CAH7+ plasmatocyte	all	26-29-p	39547	FBgn0250848	0.33	0.87	0.74	3.64e-30	2.84e-26	NULL	NULL	NULL	gene symbol	top200
1664078	98	1	CAH7+ plasmatocyte	all	Idh	44291	FBgn0001248	0.27	0.76	0.64	9.68e-19	7.55e-15	NULL	NULL	NULL	gene symbol	top200
1664079	98	1	CAH7+ plasmatocyte	all	Rtnl1	33721	FBgn0053113	0.38	0.95	0.83	3.18e-46	2.48e-42	NULL	NULL	NULL	gene symbol	top100
1664080	98	1	CAH7+ plasmatocyte	all	AdenoK	39479	FBgn0036337	0.30	0.71	0.59	7.75e-19	6.05e-15	NULL	NULL	NULL	gene symbol	top200
1664081	98	1	CAH7+ plasmatocyte	all	Rab5	33418	FBgn0014010	0.27	0.81	0.69	2.84e-20	2.22e-16	NULL	NULL	NULL	gene symbol	top200
1664082	98	1	CAH7+ plasmatocyte	all	CG13117	34289	FBgn0032140	0.41	0.89	0.77	6.06e-49	4.72e-45	NULL	NULL	NULL	gene symbol	top100
1664083	98	1	CAH7+ plasmatocyte	all	CG14946	34627	FBgn0032405	0.50	0.98	0.86	2.48e-87	1.93e-83	NULL	NULL	NULL	gene symbol	top50
1664084	98	1	CAH7+ plasmatocyte	all	CG31637	33914	FBgn0051637	0.26	0.93	0.81	7.8e-22	6.08e-18	NULL	NULL	NULL	gene symbol	top200
