order	dataset_id	cluster_id	cluster_name	sample_id	gene_symbol	entrez_geneid	FBgn	avg_logFC	pct1	pct2	p_value	padj	other_value	other_value_type	rank	source_gene_info	rank_text
1665097	98	2	Crystal_cell	all	Hexo2	31808	FBgn0041629	-0.95	0.50	0.92	4.34e-05	0.33	NULL	NULL	NULL	gene symbol	
1665098	98	2	Crystal_cell	all	l(1)G0320	326234	FBgn0028327	-0.49	0.25	0.67	0.02	1.00	NULL	NULL	NULL	gene symbol	
1665099	98	2	Crystal_cell	all	CG4398	36838	FBgn0034126	-0.67	0.16	0.59	6.599851e-03	1.00	NULL	NULL	NULL	gene symbol	
1665100	98	2	Crystal_cell	all	Msp300	3771968	FBgn0261836	-0.34	0.50	0.92	0.02	1.00	NULL	NULL	NULL	gene symbol	
1665101	98	2	Crystal_cell	all	PMCA	43787	FBgn0259214	-0.36	0.25	0.67	0.02	1.00	NULL	NULL	NULL	gene symbol	
1665102	98	2	Crystal_cell	all	CG5676	34368	FBgn0032200	-0.92	0.33	0.75	4.30838e-04	1.00	NULL	NULL	NULL	gene symbol	
1665103	98	2	Crystal_cell	all	Clc	40221	FBgn0024814	-0.66	0.41	0.84	3.259178e-03	1.00	NULL	NULL	NULL	gene symbol	
1665104	98	2	Crystal_cell	all	CG13585	37918	FBgn0035020	-1.07	0.41	0.84	2.36e-05	0.18	NULL	NULL	NULL	gene symbol	
1665105	98	2	Crystal_cell	all	yellow-f	41595	FBgn0041710	-0.39	0.33	0.75	0.01	1.00	NULL	NULL	NULL	gene symbol	
1665106	98	2	Crystal_cell	all	Rsf1	34370	FBgn0011305	-0.76	0.08	0.51	2.832927e-03	1.00	NULL	NULL	NULL	gene symbol	
1665107	98	2	Crystal_cell	all	cic	53560	FBgn0262582	-0.71	0.00	0.42	4.443201e-03	1.00	NULL	NULL	NULL	gene symbol	
1665108	98	2	Crystal_cell	all	Swip-1	35158	FBgn0032731	-0.85	0.33	0.76	3.499374e-03	1.00	NULL	NULL	NULL	gene symbol	
1665109	98	2	Crystal_cell	all	SppL	43128	FBgn0039381	-0.81	0.25	0.68	1.526579e-03	1.00	NULL	NULL	NULL	gene symbol	
1665110	98	2	Crystal_cell	all	TER94	36040	FBgn0286784	-0.65	0.25	0.68	6.394919e-03	1.00	NULL	NULL	NULL	gene symbol	
1665111	98	2	Crystal_cell	all	PHGPx	38413	FBgn0035438	-0.70	0.16	0.60	4.571734e-03	1.00	NULL	NULL	NULL	gene symbol	
1665112	98	2	Crystal_cell	all	Glt	34193	FBgn0001114	-0.61	0.50	0.93	5.87022e-04	1.00	NULL	NULL	NULL	gene symbol	
1665113	98	2	Crystal_cell	all	bif	32119	FBgn0014133	-0.78	0.16	0.60	4.773378e-03	1.00	NULL	NULL	NULL	gene symbol	
1665114	98	2	Crystal_cell	all	Oat	40145	FBgn0022774	-0.31	0.41	0.85	0.03	1.00	NULL	NULL	NULL	gene symbol	
1665115	98	2	Crystal_cell	all	Unr	38963	FBgn0263352	-0.47	0.41	0.85	8.669668e-03	1.00	NULL	NULL	NULL	gene symbol	
1665116	98	2	Crystal_cell	all	CG1943	40844	FBgn0037468	-0.95	0.25	0.68	3.15e-04	1.00	NULL	NULL	NULL	gene symbol	
1665117	98	2	Crystal_cell	all	janA	43569	FBgn0001280	-0.56	0.33	0.77	2.872348e-03	1.00	NULL	NULL	NULL	gene symbol	
1665118	98	2	Crystal_cell	all	Manf	41983	FBgn0027095	-0.97	0.25	0.68	3.02348e-04	1.00	NULL	NULL	NULL	gene symbol	
